task_1,translated
0,Do not tell the money of the ruby. 'My father is a Hindu' 
1,"The rich wealth of age, empty hand is sitting! The jannat of someone is sitting in the market! Ya allah kisi ke maa-baap ko itna mohtaz na kar..sbhi ko apny maa baap ki khidmat itni karni chahiye key khudaa raaji ho jaye @abbasalirushdi @ nafeesa92321420 @ashraffem @dralvirashah "
1,"¸. • ""•"" Dil said, I am remembering # #Good night "
0,"#AIMIM Chief @asadowaisi  says to the Chair, 'AAP referee hai, pls don't be part of the game .'  #ParliamentSession "
1,Will the courage to apologize to Zee News journalist # Kanhaiya Kumar who has been speaking # pieces without any proof of any evidence! @zeerajasthan_ 
0,"I am a resident of Chandausi district, I am murdered in the coming days, if I am murdered in a few days in the coming days, then it is responsible. Moradabad, police station @dgpup @adgzonebareilly @sambhalpolice @pmoindia "
1,"Respected Akhilesh Yadav, you were the pride of Uttar Pradesh, Respected Akhilesh Yadav, was the Uttar Pradesh Keshan ... "
1,Join #Extensionstudio directly in chat with @Sardanarohit at 6 o'clock and ask your question http://bit.ly/chatwithrohit 
1,"Arif saved Ajay's life by breaking Rosa! Today, Amit did not donate the blood for the mention of Mahfouz that no one has to break anywhere! Thank you Amit Bhai !! Mohabbat zindabad "
1,Taking a 3-day medication instead of the 7-day medication written by the doctor. There is a common Indian property. 
1,BSP president Mayawati 9 is meeting a review with party office bearers and workers @ Abhishek6164 
1,"Friendship with the thorns of the flower is unmatched, how much pain gives a thorns to flowers. Even if the flowers blooms are blooming, look at the thorns, protect flowers themselves, they keep flowers. # Yours # Hindi Hindi # Words "
1,"The benefits of this reservation will not get those people who are already getting benefit under ST, SC and OBC quota "
0,Who is the son of aulad? BSDK 
1,#Indvsban - Team India decided to bat first by winning the toss # Worldcup2019 - http://zeenews.india.com/hindi/live-tv 
0,"@Kadevender is Bhadwa Saala is a Khalistani and Pakistani agent and it is a Pakistani sleeper cell member. It is silent here, someday will jump to the bomb dam and will take the life of thousands of innocent people. You are yours "
1,The 36th match of the tournament in # ICCWorldcup2019 will be played from at 3 o'clock at #Headingley Cricket Between #paskistan and #Afganistan. The match will be broadcast on #Hotstar in addition to #Starsports. # CWC2019 #Afgvspak 
1,"Inside the house in Delhi, the incident of robbery on the gun point is unaware of the badmash #delhi https://abpnews.abplive.in/india-news/inside-the-house-looted-innocent-people-at-gun -Point-in-Delhi-1157623 ... (Report- @Singhanjali) "
1,Thank you for the beloved people of Godda ... 
1,"Natural Var-filled mountain, wet morning from cold morning, Nazakat lukewarm afternoon, my generation logo's favorite place of 'Himmoon Trip', seen through the films Being Beautiful ... There are many thousands of life stems in violence, not a fear now Kashmir. "
1,The Central Health and Family Welfare Ministry has demanded to keep biscuits in official meetings. 
0,"Jaba Fatima and Irshad Khan are both Pakistani agents and the traitors of the country. One of the only one that markets are the same as the other person. They are not the people that the moon, the spit on the sun falls. "
1,"Explained: The water crisis is the country's biggest problem, the remedies will be craving for the drop-drop https://abpnews.abplive.in/india-news/water-crisis-depens-in-india-here- to-Know-the-Exact-Situation-1157917 ... #watercrisis #watercrisisinindia "
1,"The misconception was very big, and abusing in the password of the election, to come together in alliance, the public understands "
1,Police have prepared reports in the case of Delhi's Mukhymnagar beating @aneeshamathur 
0,"The silent sculpture, you see the match, you need to become loada expert ... so gaand is Gudda so you take the game Lavde "
0,"Thala came back, tearing gand "
1,"Together with step by step, singing ... Join @Srssorg @Realtimesmu @iampankaj_kumar @chshekharbjp @head @Chshekharbjp @ 1976_cs @ivskdelhi @EditorVskbharat @Vskjodhpur @Marubhumi_rj @Pandeyguj @SanghparivarorG "
1,"If you believe in Hindutva, then the results are better. You respect the other religions completely and definitely, but before protecting your religion. Best wishes .. !! "
0,Muslims are not afraid of anyone except Allah. Then why do the Kashmiri goes to the Muslim face like Hizdi? 
1,The big hobby was to become Hindu Rajput. 
1,"After a long interval, between you #Mannkibaat, the matter of public, we are issuing a series of people. The busyness in the election was too much but the fun of the mind was missing, feeling a decrease. We used to talk about 130 million countrymen as well: PMG. "
1,Ramarahim will release from jail to cultivate. Asaram also prepares to plant 'coriander' as soon as he heard the BJP government !! @ Anjupra7743 
1,"BJP MLA slaps the news18 journalist, and if you run the news then you will shoot. Oh no, the MLA is a matter of mutuality, and do not give a mistake. "
1,"BJP MLA Sky, who is beaten by Bat, released from Vijayvargiya Jail #akashvijayvargiya https://abpnews.abplive.in/india-news/bjp-mla-akash-vijayvargiya-released-from-jail-1157169 ... "
0,"Sneha Mam, where do they know - Kanhaiya is a sarif man in his eyes, JNU's piece-piece gang is also very sarif, supporting the nominal slogans, there is no crime, stones are hanging, Akbar They are not Islamic blasts. "
1,Dalai Lama had also said in 2015 that female successor would have to be very attractive 
1,Never give up their children to nest and only teach the art of flying 
1,"SC asked EVM from EC, VVPAT to ask a petition in two weeks "
1,"If Ramakant Yadav fighting with Azamgarh, then give you water. You go ... you reduce the ego and give birth to Yadav Natavo, compared to your family. "
0,Lund's thirsty scrub made Lund sucked 
0,Abe o born born from your sister If you want to become a bhadua then sit on Pappu's lund. Do not understand the joy of me. Sangh is a terrorist. Do you go somewhere else to bring your sister? Impotent 
1,"On the #exitpoll of the media is running the tsunami of BJP, seeing me, I remember the loyalty of your mother-in-law's film - # g "
1,"Now do one thing, Yadav Ji go to the mountains with retirement from life "
0,Another pig's son on the path of Mohammed 
1,"# CWC19 #INDVENG LIVE SCORE: England batting before winning the toss, Debut in the World Cup of Rishabh Pant. @BCCI @ECB_Cricket https://www.wahcricket.com/news/ind-vs-eng-live-updates-and-iCc-world-cup-2019-india-vs-england-latest-news-updates-138655 ... "
0,Sarfaraz: Let's Baris Visee .. umpire: Baris is not a spit. You are spitting. 
1,"If my head should be cut just because I am a Muslim, I am ready to die 1000 times. My country is my pride. My Islam My Life "
1,"Open # Temple for Namaz, not # Masjid for worship! Just keep your love by adopting humanity, there is no need in the country of the rest of the fake secular bakati. One message on #EIDulfitr - Let your own different place ~ I am human being to stay humans ~ #shahrukhsiddiqui "
0,You are right in the heart of Matherchod 
0,"Seeing Bhadwa Kalute will not open your body, because your face has now become a hemorrhoid "
1,"In the presence of Obasi Sahab Sadhvi Pragya, you must make a slogan of Mahatma Gandhi Zindabad and Tipu Sultan Zindabad in Parliament, @Asadowaisi "
0,"In the Delhi Government, @Arvindkejriwal is filled. Nothing of their bus This bastard now comes the work to stop clapping. "
1,"By the way, speaking 'Jai India, Jai Constitution' can also be compulsory for everyone. "
1,Analysis of 'Rain of Concerns' in the Zindagi of Mumbai #DNA at 9pm @Sudhirchaudhary 
1,"A meeting in tribal region between 15 May mountains, which tells access to the tribal areas of @Narendramodi ji @ bjp4delhi @amitmalviya "
0,"In Balakot, how many ""mobile"" were running ""mobile"", it knew our ""government"", but ""3"" day can not find a ""plane"" in its own country. "
1,"The stance will change these winds, the condition is that keep playing together !! Whenever you fight for your right, just keep a voice from the voice. Mission #GoBackModi # BJP_BBOO_DI @Dralvirashah @Yasarshah_SP @MAHESHWAR_SP "
0,"Matherchod community, it is also the same thing where they are "
1,"Friendship of PM Modi and Naveen Patnaik goes forward, BJD can get the Lok Sabha Deputy Speaker's post - @Pankajjha_ https://abpnews.abplive.in/india-news/lok-sabha-deputy-speaker-likely-from- Naveen-Patnaik-BJD-1158875 ... "
1,Naman on the birth anniversary of Great Revolutionary Pt. Ramprasad Bismil 
0,"If the leader is hitting, then you are killing the ass, Bhosdke, what was the election boy from Lucknow to become a scientist! "
1,Narendra Modi government also banned this firm in July 2014 
1,"Approval acceptance, accepting defeat, we will continue to run again, with the freshness, in the heart, Baba Saheb's idea. # Jai_bham # Mahagathan # SP # BSP # Lok Sabha Sahanam 2019 # Ravish_kumar # Kanhaiya_kumar # India # Mayawati # Akhileshadav "
1,"The demand for central school in Parliament by MP ji, the establishment of government world school is also in Amroha, "
0,The extent is done when people who take advantage of reservation begins against reservation 
1,"#Malgaon bomb blast is not present in the court due to stomachache, - Oh My Godse ... "
0,It seems to be your own heart is giving your heart. 
1,Congratulations to CM Kamal Nath on the arrest of BJP MLA 
1,"The warmth of summer in the capital Delhi continues, the possibility of light rain in this evening #Rain https://abpnews.abplive.in/india-news/heat-rises-in-delhi-the-possibility-of-light-the-This- Evening-1157497 ... "
1,"Didi, you do not use the Dalit word only to use the Powerful Native word, we can keep the history alive to be Manu Kureshi so that the coming tomorrow can understand our enemy. @ Anjupra7743 "
0,"And those who are making these videos, they could put a big rope, a rope or a lot of garbage, which could not be given a bigger cloth, whether it comes to slide or hold down, if the jump is on the life. If you die, then it will also create videos "
0,"#Pmmodi said in Parliament on June 25 that removing #watercrisis is their priority. But the truth is that Modi, who talked priority, has not discussed any discussion on the #Nitiayog report given two years ago on the water crisis, even after being a government of #BJP in the country for five years. "
1,"To investigate the reasons for Acute Infolite Syndrome (AES), the team of the country's experts reached #Muzaffarpur by reaching the reasons for Acute Infloration Syndrome (AES), including Muzaffarpur of #Bihar. "
0,Your mother's Bhosa Randi that the pupil of Aulad Suvar 
1,"When the holidays ended, the children asked, 'Who went to Nani's house'? So it was revealed that now the child's grandmother has started going! "
1,"Today's best savory jutkula RSS is a social organization, it works for the good of society. "
1,"8June 7 PM Noida, participated in Noida in Bhagwat Katha of Shri Gaurav Krishna Ji Maharaj in the presence of water. @ BJP4Delhi "
1,"The trailer of the film #jabariyajodi has been released. Earlier, Siddharth Malhotra and the surprising Chopra had appeared together in the film 'Laughter then Faced' and #karinakapoor has completed his 19 years in the film industry. #Cinejivan "
0,Lucky leaders like you should kill the shoes at the intersection. Why do not Mayawati sell their property by selling their property. Fucking fuck 
1,"# Friends do not buy, they are # bastard, which you never want to see # Sharif !! - Feeling Shaandaar "
0,2014 # Mahaich's speech # lowly said 100 days to give David to get dragged by five years. What did you do? #New 
1,I want an unemployed boyfriend. . . . . I will give him employment 
0,Matherchod Salee Catway is crying so much for a thief 
1,"All the scenes of the hidden, what happened to you. "
1,"On the privatization of rail factories, Sonia Gandhi raised the question in the Lok Sabha, said - Workers #Soniagandhi in crisis "
0,@ravishndtv Hey Matherchod Why are you hiding like a pig after the incident of Delhi? 
0,I will give you guys 
0,Le Bhosadi @rahulgandhi Rafael's lie filled in your ass # ExitPoll2019 
1,JP Nadda can be @ BJP4India's next president! Party parliamentary party signs found 
1,"What is the condition of tribals? Now look at yourself, where do you go to Naxalite or die like this? "
0,Wtf we lost the review bkz of that prick umpire who can't even see it was pad first. Chutiya umpiring so far this #CWc19 
1,"In Parliament, Asaduddin Owaisi scored BJP on many issues. @asadowaisi "
0,Then there is a lot of money to do such a thing. 
0,What is the condition of the cylinders and rape of rape? 
1,"# There is a chic, but the same is in the heart, # Bholenath Damaru Danka plays # The person who is the devotee of the world. #Har_har_hdev # Good morning # Bazm # Wordboard # zodiac # shayari # Sat_bhakti #Sandesh # Swara # Hindi___________________________________________________________________________________ "
0,@BDUTT Evidence for you to do your रंडी विलाप as a Presstitude trumpeting intolerant Hindus 
0,"Two cloaks are to be brokered by hobbies, but if Jat will say something over Jat religion, then you will have to be so shoe. Your mother's f ** that your father will not be saved. F ** "
0,"Seeing Bhanchod and Gujarat, seeing, Day Ben Lund Galu, you have taken away from the place, do not roam the same. motherfucker. I "
0,"Gaera Basim referring to Islam, all the Muslim artists proved to be the food and Haram's food. "
0,Lund's thirsty scrubber has sucked the lund 2 720p http://xv.musz.info/%e0%A4%b2%E0%A5%81%E0%A4%82%E0%A4%A1-% E0% A4% 95% E0% A5% 80-% E0% A4% AA% E0% A5% 8D% E0% A4% AF% E0% A4% B% E0% A4% B8% E0% A5% 80-% E0% A4% B0% E0% A4% 82% E0% A4% A1% E0% A5% 80-% E0% A4% A8% E0% A5% 87-% E0% A4% B2% E0% A5% 81% E0% A4% 82 / ... 
1,"Noida: Flower waste from the temples is being made from the garbage, argenic color, incense and manure "
0,# Sadhvi_Thakar # Pragya_thakur # Saint_Samas is offering # Saints should be opposed. # Saint_majaj Hemant Karkare .. True countryfathers should come out in protest against Pragya for the speech of Godse. 
1,"On the death anniversary of the great Veerangana Rani Laxmibai ji, the great Veerangana Rani Laxmibai, who prouded Indian Vasundhara from his wonderful bravery and power. # Laxmibai # Rani_Lakshmibai # India "
0,Bhosande will introduce your religion in your ass ... 
1,"In the second highest rain in 45 years, the city Live: http://bit.ly/at_livetv # with attack_bol @anjanaomkashyap "
0,"Shah Ji, quickly decide to defend 370 from Kashmir. Once the army should be given to the army themselves. "
1,"There are two superpowers, there is a wave of happiness around, there are only happiness and the devotees are suffering, should also be too. "
1,"When the soul is separated from Tan, the month of Ramzan, "
1,"In the case of Delhi, the main accused arrested, was arrested on the charge of breaking the temple and provoke riot - https://zeenews.india.com/hindi/live-tv "
1,"The beautiful plains were small, now stone "
1,"#Indvseng today between the two best teams of the world, # Pakistanis are the prayers of India. "
1,# The dog goes after feeding # bone 
1,Sri Lanka targets 204 runs to South Africa # ICCCRICKETWORLDCUP2019 #SLVSSA 
1,View Next Post for Live HTTP: //V. 
1,BJP Young Morcha Follow them to join Twitter from Chhattisgarh State Minister Bhaiya Shri Amit Sahu ji. @Amitsahubjym ╭ⓕ━━╮ ┃ⓞ┎━╯ ┃ⓛ┖━╮ ┃ⓛ┎━╯ ┃ⓞ┃ ╰ⓦ 
1,The trailer of Parineeti Chopra and Siddharth Malhotra was trailer of https://abpnews.abplive.in/bollywood/sidharth-malhotra-and-parineeti-chopra-film-jabariya-jodi-trailer-1158279 ... #jabariyajoditrailer 
0,Pig Chauhan @Sureshchavanke but BSDK you have an angle with your brother sisters 
1,"Honorable Mr. Chief Minister Andhra Pradesh Shri Chandra Naidu Babuji, hearty congratulations in Uttar Pradesh, we hope that a new government will be led by Uttar Pradesh. "
1,"In the Congress still continues 'Crisis of Resignation', Read 5 CM of Congress from @rahulgandhi News- "
1,"Allah is very happy with Ramzanul Mubarak to all the countrymen, forgive the sins of Allah. "
1,"In the old-fashioned children, the sacraments used to be coded in homes and schools, which give a copy of the lifetime affiliate lifetime @ sheetalsuryav10 "
0,Who will give Papa #Ramrahim water without Honeypreet? Along with him to parole Khattar sahab ... 
1,"Inshita Azad achieved the third rank in the 187th SC category at the National India level, when there was 673 marks in 720 in the neighbors, the opponents of reservation responded to the Bahujan Sister my best wishes !! # Jai_bham_mano "
0,Teri Gand bursts in posting the bomb by saying Ola Hu Akbar 
0,"Abe Bhosadaye is what you are doing in the politics according to the Quran? Bol na Matherchod, you speak anything to any woman, do you teach the Qur'an? Bol Na Matherchod Gande "
1,You can also see live TV along with reading news on our website - http://abpnews.abplive.in/livetv 
1,Rain continuously in #Maharashtra has now become afraid for the people there. #Mumbai has been flooded in many areas. It can be estimated from the fact that the administration has announced a public holiday one day. #Mumbairain #mumbairains 
1,"Of course I will talk to Surjewala, but Suresh ji, Shri Kalki Pethidhara should talk to you from the ""Great"" spokespersons who speak Shukracharya and Congress Acharya. "
0,"In Bengal, the saint of Ramkrishna Math hit in the tree and hit the Islamic goons. This news does not show the sale of the media because it will wake up? Jai Shri Ram !!! After all this is what Karei "
0,Proudly thanks to the name of # i'a_chaukar 'writer' should now be written '# I 
1,Those who want to break the country should be afraid of their mind and we are happy that we have worked to create these fears: Mr. @amitshah ji 
1,#Bihar is being expressed due to the death of the death of the mouth of the death of the death of the death of the death of the death of the death of an Acute Inflorite Syndrome (AES) #Camkifever spread over about 20 distraps including the district. 
1,"There is a lot of Gurur, if the river is confused with my thirst, then we will fly. "
1,"In Hauzkaji case, Delhi Police's big action, 2 people arrested, minor custody "
1,"Whatever achievement is obtained by self-existence, it is only virtual and justified ... ~ © #Shayari #TheFearlessWriter #Shayari #hindi #Poetry #Inspiration #Quote #hindiquotes # Words # Words # Hindi__yourquoteapp "
1,Together with our national executive president Mr. Jagat Prakash Nadda congratulated him from all the workers of Delhi BJP. Bharatiya Janata Party will reach the peak under the leadership of Mr. @amitshah ji and Mr. @Jpnadda #Modihaitohmumkinhai 
1,"#Mumbai has knocked the monsoon. This morning, there are several rains in many areas. The weather department has released 48 hours alert about the rain. At the same time, people are sharing on #mumbairains on photos and video social media in many areas of Mumbai. "
1,"See, DNA Test of 'Destroyer Thinking' in a private rivalry "
0,All the Khan of the film industry came out. A 18-year-old girl knows Islam but she does not. They also work in the movie and have also been married to Hindus. There is both Haram in Islam. @iamsrk @Aamir_khan @beingsalmankhan #zairawaseem #zairapedangal 
1,Your heart is very close to your catastrophe. This is a great time. 
1,"Look at the person standing behind former MP Atik Ahmed, it is Mohit Jaiswal. It was always ahead of Amit Ahmad for his benefit. Seeing the vulnerabilities on the weakness, it is rebellious to become silent. Then be of any religion. "
0,"Randi Anjnava Om Modi Nott Kashyap, Bhadve Sardana, Randi Salkha, Randi Shweta Bhadua Janata Party Spokesperson "
1,Happy Birthday to Mr. @piyushgoyal Ji becoming a minister of railway and commerce and industry. 
1,"Because of not getting the parole, I am withdrawing its number from Varanasi, all by taking a dead candidate has already gave a walkover, the fake leaders of secular parties, who called me vote, now show their power to how much of Modi Large from Voto! # Loksabhaelections2019 "
0,Hey crazy 
1,BJP leaders have submitted a complaint to the DCP of Parliament Street in this regard 
1,"World Cup 2019 LIVE: A key combat between India and Bangladesh, many major changes in the team #Nindvban # Worldcup2019 # CricketWorldcup2019 "
0,"@PubgMobile to earn money, you have killed the game. "
1,"By showing his tantrums, he fire some such people. "
1,Such a passion for reading newspaper .. !!!! As soon as an auto driver .. As soon as the signal was redeemed. Rebelled with the presence of the sideways .. Country Q will not wake up !!!! @ Bjp4delhi 
0,"Nahi, this comes in # Dara_hua_musalman "
1,"But you understand my desire to understand the helplessness, but you understand my understanding weakness, a lot will be regretted every day when we will not be able to spill you, I will remember me. # Hindi # Words "
1,Then there will be angry grandfather. 
0,Murtaza gave trash 
1,If you are not sure then see yourself. Newspapers have been printed till. 
0,"Yes, Matherchod will give you talking here, will give it "
0,Sarees in Sari Dabar Bhabhi's Hindi Porn Sex Videos 
1,"Then an innocent rape and murder 'Bablu Jaiswal' has called the 6-year-old child of Peddy and had done earlier, and later killed by the throat, why did not the media active on this incident like Aligarh Case? The culprit should be hanged only !! "
0,"Sin is sin, Bhanchod "
1,Looking for misfortune. Name Sahil Dada's name Kallu Baba Tent Address - This child of living near the water tank Contact number 9935223504 @balrampurpolice 
0,"(Full Hindi Desi Fucking Audio) lying next to the uncle on the bed and aunt scored a nephew, uncle's eye opened again and see what happened. "
0,First: Dock media broker is now: dock media is a broker 
0,Something busy in watching all the dead dancing will start everything # Randirona will start 
0,"Hey Chutia is outside the thinking of your rotten mind Modiji's thoughts, what is the bad devil like you, just rape the tribal woman, she sleeps with Sisudia and the children produces the children because Lund has been bibbitz. "
0,Do you understand everyone like a gango 
0,If you do not have a house then go away on any arena but do not do mother - sister on Twitter. 
1,"I am happy to win this person in the whole country and there are many expectations from this man, very much of winning @Imtiaz_jaleel, Allah has a lot of success ... Amen @shaukat_aimim @Syedasimwaqar @Warispathan "
1,"Jharkhand ke #tabrez_ansari ko @aimim_national Jharkhand Ki Team Madad Karegi, Qatilo Ke Khilaf Pura Muqadma Aimim President JB #Hubban_malik Sahab Aur Unki Team Ladegi @asadowaisi "
0,"Tabaraj is asking Bhadu, who is crying on the death of Ansari, now why not get the voice against those who attack the temple in Delhi. "
1,On the Riverside Ground of Chester Li Street today will be played between #Srilanka and #westindies. Will toss in a while. # CWC19 # ICCWORLDCUP2019 
0,"SP MP ST Hassan did the support of Wasim, compared to Film actresses by doing Tawaif. gave "
1,"From politics to see all kinds of photos to the entertainment world, follow you on the Instagram of ABP News - http://instagram.com/abpnewstv "
0,Can you put your thinking ?? 
1,Yadav ji ... aapke priya chacha ramgopal kahe the ki .... Ramlal Naik Ko .... Mahamahim Kahne Mein Sarm Aati Hai .... Aur Aapko Aaj Enki Yaad Aa Gae .... Pahle Apne Karm Bhi Dekh Lete ... 
1,"Sri Lanka felt the fourth blow, making Angelo Mathews 11 runs out #slvsa # ICCWorldcup2019 "
1,National President Jee is requesting special attention to the people of every society in the SP party. 
1,#NewProfilePic green dream came in Afzal Mati. Chhatrapati gave the car saffron in his chest. #Morning 
1,High Court on the security of Chandrababu Naidu asked for the State Government report https://bit.ly/2xrlopc 
0,Shiv Sena came to build Ram temple in the UP of Mumbai? Have a spectacle with BJP? Then both of them got one like every time? But in Mumbai every year the problem of rain is not settled. The stack of the trop is a matter of Mumbai rain but what is the problem is Nehru? They will be attributed to them. 
1,Mumbai also give the most tax and even life? Mumbai did not drown 'system'! Tweet on #Mumbairains See the rhythm at 4:55 PM at @Zeenews @Sachinarorra 
1,Can any auto driver can steal tax of Rs 200 crore? Read to learn this news .. 
1,"In the # ICCWorldcup2019, Indian young player #Rishabhpant has got place in Team India in the match released between India and England. Due to the poor form of Vijay Shankar, the team management has taken this decision. # CWC2019 #Indvseng "
1,"# Even after death, people do not leave the # army job, they talk about reading a few newspapers and leaving the country ..! "
0,"This Sanjay, # Namakul wants to spread the quarrel, fed, dishonesty in this country, the rest of the country may be in trouble. Come, this bastard is the power greed !!! # Despecially !!! "
1,Sister is finally the sister is small or knows all the work 
1,LIVE: Home Minister @Ammitshah https://abpnews.abplive.in/live-tv on the issue of Jammu Kashmir 
0,"Ray Randi seeds, see the reply of the top cuts, before such a serious tweet pe bakchodi has started ... ! "
1,The police have already sent jail to two more colleagues 
1,"India, India, Jaspreet Bumrah won the heart #indvban https://abpnews.abplive.in/sports/icc-india-bat-bangladesh-by-208- Runs-1159011 ... "
0,"When the power was in my heart, the power was in my heart, then you kill the dogs out of India. If there was power like America, Russia then becomes Sandas in Kaaba. Hydrogen bombs will deduct the earth. "
1,Hey my brother has forgotten you. 
1,"What is the country mine? A few days ago, the people of India played Trend #NotojaishReram and who live abroad from their mouth Jai Shriram Jai Shriram Vande Mataram! After leaving us our country, it is realized that this tricolor is realizing that it is a matter of thinking "
1,"Lalayat Mr. Tarabage for Lynching had decided that the tradition of family will not only increase, but the father's lost honor # earning in the form of lynching. From childhood, he got joined in achieving his purpose, he got to succeed in small thick thieves. "
0,"# The real thing is that # some #ams # Variety # people # They are constantly fucking their sister, this is the truth of the Muslims of the Indian # Uphadip "
1,"Dear patriotic colleagues, Baba Saheb Ambedkar, Sardar Patel and Shyama Prasad ji to realize the dream of the Sam____________________________________________________________________________________________________________________________________________________________________________ You will definitely come @kapilmishra_ind @Advashwanidubey @Ippatel "
1,Looks like this saffron jersey of #teamindia .. this time the command of # Worldcup2019 is in hand of Amitshah ji # Hindi_ 
1,DNA Test #DNA of 'Democratic Thinking' in a private rivalry 
1,"If I reach the heart of someone from my post, then I apologize. "
1,"Telangana: The Women's Beauty's Being Video came in action CM, TRS MLA's brother arrested https://abpnews.abplive.in/india-news/woman-forest-dept-official-assaulted-in-telangana-trs -Mla-Brother-Arrested-1157694 ... "
0,"Due to the anal, the darkness will put in the ass of devotees, these fuzzy patriots and British brokers ... "
1,"Individuals of self-contributing towards water conservation, and everyone who works in this area, their information, their information, to share it with # Janshakti4jalshakti so that they can be made a database: PM G. "
1,My first request is - as the countrymen gave cleanliness as a mass movement. Let's start a mass movement for water conservation: PM @narendramodi ji. #Mannkibaat 
1,"Veerangana # Maharani Kotakshi ji, who sacrificed his life to protect Jhansi, Ban and Shan; # Lakshmibai filed his name in the golden letters in the British in the Battlefield in the Battlefield and History. "
1,Police is accused of assaulting the secretariat staff Manoj Kumar Prajapati 
1,This Muslim Fising Other Muslim Chopp Jay Mr. Ram !!! #The Modiytahmmakinu #aberoz 
1,"After 1971, the country has given a Government for the first time Prof. Inkbanan mandate. This victory is the victory of the truth, the victory of India's democracy: PM Modi. "
1,Today a Congress had asked the correct word 'hell' or 'hell'? I said - by going to you or the word? Since then are angry. #Saturdaymotivation @Shilpisinghinc 
0,"If you do not talk about the army, said the rapist about the army. "
1,# Auspicious song with this Sumdhur 
1,Mani Shankar Aiyar says right # Tejbahadur # lowly # election 
1,"All those ""13"" soldiers and officers of the Air Force Naman Naman ........... who slept in the lap of Mother Bharti ........ Jai Hind. "
1,"Some Leader of North East India came to the BJP office and greeted the win ... no Assam, no Arunachal, no Arunachal, no Manipur, from any Sikkim. But belief in @narendramodi .. And your country's victory of India .. @ Bjp4delhi @ Bjp4india "
1,"In order to bring water from Chambal Canal for irrigation in the villages of the village, the Mr. Narayan Singh Kushwah and Shyopur-Murena MP Anoop Mishra, Shri Narayan Singh Kushwah and Shyopur-Murena MP Anup Mishra. @Chouhanshivraj @amjoyshow @nstomar "
1,"The suspension will be withdrawn! And those who are arrested will be able to release immediately by going to a big leader of the # BJP. Later, their bouquet will be done! Do not worry about the Hindu terrorist # dog and prepare for the next attack! #Lynchingminorities_india "
1,Apke samay me ramrete tha sare thane khali rahte the jail me koi apradhi nahi tha lekin janta ramraj nhi chahti ap satyug dowara aye to raj karna tab tak intjar kro 
0,Perfect 
0,"# Pragya_thakur said # Godse_jindabad, he became angry. "
1,"#Indvseng: India will want to win the semi-finals, https ://abpnews.abplive.in/sports/indvseng-england-do-in-so-far-unbeaten-india-in- This-world-cup-1157154 ... "
0,@Arvindkejriwal Teri Maaya Chode Tu Thapar is not a shoe 
0,Dewar and sister-in-law fuck 5 s 
0,Bhainchod Delhi owner can pretend to run the whole government on Twitter. 
0,"This is a great bucket, first dance to the name of Allah, then give a prayer of brotherhood. If there is a pig on the mosque, then the constitution falls in danger, the matter was solved ...! 2002 has not forgotten, remembered. "
0,"If you survive Yadav Mum Advo, the law should not escape "
1,"The BJP is winning seven seats in Delhi with unexpected majority, the Aam Aadmi Party is going on the third number and can seize the bail of several candidates - Mr. @Manojtiwarimp "
1,"Wow wow! What look beautiful. Show you too? No brother For Bitia Queen? Not yet brother Later later You keep coming Take this 180 rupees. Hello brother Hello sister Take bangles. Take colorful, lovely bangles. # Hindi # Word # Wish "
1,"If you change the path, then understand the # dogs will understand that the lioness is weak. Mother Durga has given the kalyug to Kaliyuga, taking our form. . . . . Good morning Jai Maa Sherwali "
1,"BJP's Shahanwahusan Mukhtar Abbas Naqvi Tabarajkhan asked both of them on the oppression, see what a spectacle, on the oppression, @Ziddy_zoya "
1,"The great revolutionary Queen Lakshmibai greeted on the occasion of death, wonward. !! #RanilaxMibai # Rani_lakshmibai # Laxmibai "
0,Bhainchod Tu and Jija Salea Hijdi Sakal is the thing that Pappu is a brother-in-law and the address is being sent to Bhosadi before the Audra is a father's son. 
0,"And who will do this work? If you do not do politics, do not do politics, now get them out of the party, your Gand has got the instructions of Father, when will they remove them from the party? @Manakgupta "
1,Do not know what is the issue with South #hero # Bastard people keep 2-2 heroin in every movie! And we are talking to single humans like # Girl to keep the same. So what is the brother you have fun there and we speak to be satisfied with one here so big # 
1,Batting Bol Islam Zindabad .... Beat: Islam Zindabad ....... Bottom Bol Islam Zindabad .... Pitt: Islam Zindabad ... The mind was pleased ... Courtesy 
0,"They put Lipton's tea in Leton's gond, with hot kettle "
1,A better line written in a doctor's clinic .... There is no pleasure in medicine .... and there is no medicine like happiness .... !!! @ Anjupra7743 @aacharyasahiil @ rana11639322 @ Shaniseth11 @Sharkbhagat @ Sheetalsuryav10 @ Badansi59019507 @ amitaar21 
1,Barrister @asadowaisi brother's Aligarh Muslim University has a heart beat! I apply to my existing student union that 'Asad Bhai will be able to name the union's # Life_Memembership_Avard'! #Standwithasadowaisi 
0,"Mother to take in the mouth, the name of its mother "
1,"# Prime Minister has given his trick on the statement of # Pragya_thakur, which is in the country. But after that some people celebrated Godse's birthday. It is necessary to argue whether those who respect the ideology of Godse should be considered as a nation? "
0,"At the same time I do not mind, "
0,Hate to do so much that the randavo market 
1,Reality in dreams! Not necessarily. He also needs me! Not necessarily. My every single breath is on his name. He will also love me! Not necessarily. ~ Shahrukh Siddiqui #shahrukhsiddiqui @Srspoet 
0,"This dog will not go there, Mullah will be killed, Jai Shri Ram "
